"gene_id","TCGA-BLCA","TCGA-BRCA","TCGA-CESC","TCGA-ESCA","TCGA-HNSC","TCGA-KIRC"
"CCT6A","yellow","green","Not_Found","grey","greenyellow","Not_Found"
"CRYAB","turquoise","turquoise","grey","yellow","black","turquoise"
"DNLZ","brown","red","Not_Found","tan","grey","turquoise"
"GRPEL2","orange","green","Not_Found","grey","pink","turquoise"
"HSCB","darkgrey","skyblue","Not_Found","Not_Found","Not_Found","Not_Found"
"HSP90AA1","grey","magenta","Not_Found","Not_Found","Not_Found","lightgreen"
"HSPB1","tan","turquoise","turquoise","yellow","cyan","pink"
"HSPB7","blue","darkgrey","green","brown","black","grey60"
"HSPB8","red","turquoise","grey","grey","pink","blue"
"HSPD1","orange","green","red","Not_Found","black","brown"
"HSPE1","darkorange","green","red","palevioletred3","darkgrey","pink"
"DNAJA3","Not_Found","brown","Not_Found","Not_Found","Not_Found","Not_Found"
"DNAJC19","Not_Found","purple","Not_Found","Not_Found","lightcyan","pink"
"GRPEL1","Not_Found","magenta","red","Not_Found","Not_Found","darkgreen"
"HSP90AB1","Not_Found","tan","Not_Found","Not_Found","Not_Found","darkgrey"
"HSPA9","Not_Found","magenta","Not_Found","Not_Found","Not_Found","purple"
"SDHAF1","Not_Found","red","Not_Found","Not_Found","Not_Found","Not_Found"
"TRAP1","Not_Found","red","lightyellow","Not_Found","Not_Found","darkgreen"
